case_id,attack,defense,epoch,round,loss,hr5,hr10,hr20,er5,er10,er20
01_noattack_nodefense,NoAttack,NoDefense,72,264,0.24131,37.8579,54.61294,75.07953,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,73,268,0.23815,36.58537,53.022270000000006,74.97349,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,74,271,0.23502,38.06999,55.2492,76.45811,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,75,275,0.23197,37.32768,56.203610000000005,75.29162000000001,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,76,279,0.22896,35.9491,54.82503,76.03393,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,77,282,0.22603,36.37328,54.61294,74.97349,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,78,286,0.22312,37.22163,55.991519999999994,75.60976000000001,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,79,290,0.2203,37.8579,56.203610000000005,76.03393,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,80,294,0.21752,37.645810000000004,55.46129,75.92788999999999,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,81,297,0.21476,37.00954,56.839870000000005,75.07953,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,82,301,0.2121,38.28208,56.73383,76.13998,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,83,305,0.20948,35.9491,55.77943,75.07953,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,84,308,0.20688,38.17603,55.46129,75.60976000000001,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,85,312,0.20434,36.26723,55.673379999999995,76.24602,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,86,316,0.20185,35.52492,56.30965,74.65536,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,87,319,0.19941,35.9491,53.87063,76.35207000000001,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,88,323,0.19702,37.8579,55.991519999999994,76.24602,0.0,0.0,0.22779
01_noattack_nodefense,NoAttack,NoDefense,89,327,0.19468,37.43372,56.839870000000005,75.39767,0.0,0.0,0.34169
01_noattack_nodefense,NoAttack,NoDefense,90,330,0.19232,37.645810000000004,56.30965,75.29162000000001,0.0,0.0,0.22779
01_noattack_nodefense,NoAttack,NoDefense,91,334,0.19006,36.691410000000005,56.52174,76.24602,0.0,0.0,0.34169
01_noattack_nodefense,NoAttack,NoDefense,92,338,0.18781,36.26723,56.30965,73.59491,0.0,0.0,0.45558
01_noattack_nodefense,NoAttack,NoDefense,93,341,0.18562,37.96394,55.673379999999995,75.29162000000001,0.0,0.0,0.45558
01_noattack_nodefense,NoAttack,NoDefense,94,345,0.18349,37.00954,55.673379999999995,76.24602,0.0,0.0,0.45558
01_noattack_nodefense,NoAttack,NoDefense,95,349,0.18135,37.11559,55.77943,76.03393,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,96,352,0.1793,37.53977,55.885470000000005,76.13998,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,97,356,0.17725,36.16119,56.203610000000005,75.39767,0.0,0.1139,0.45558
